company_name,industry,symbol,Series,isin,index_code,scrape_date
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015,NIFTYLARGEMIDCAP250,2026-02-03
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047,NIFTYLARGEMIDCAP250,2026-02-03
Siemens Energy India Ltd.,Capital Goods,ENRIN,EQ,INE1NPP01017,NIFTYLARGEMIDCAP250,2026-02-03
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024,NIFTYLARGEMIDCAP250,2026-02-03
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029,NIFTYLARGEMIDCAP250,2026-02-03
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,EQ,INE073K01018,NIFTYLARGEMIDCAP250,2026-02-03
State Bank of India,Financial Services,SBIN,EQ,INE062A01020,NIFTYLARGEMIDCAP250,2026-02-03
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011,NIFTYLARGEMIDCAP250,2026-02-03
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036,NIFTYLARGEMIDCAP250,2026-02-03
Sundaram Finance Ltd.,Financial Services,SUNDARMFIN,EQ,INE660A01013,NIFTYLARGEMIDCAP250,2026-02-03
Supreme Industries Ltd.,Capital Goods,SUPREMEIND,EQ,INE195A01028,NIFTYLARGEMIDCAP250,2026-02-03
Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,INE040H01021,NIFTYLARGEMIDCAP250,2026-02-03
Swiggy Ltd.,Consumer Services,SWIGGY,EQ,INE00H001014,NIFTYLARGEMIDCAP250,2026-02-03
